Action Type,SHOT_ACTION_CATEGORY_DUNK,SHOT_ACTION_CATEGORY_LAYUP,SHOT_ACTION_CATEGORY_SHOOT,SHOT_ACTION_CATEGORY_OTHER
Alley Oop Dunk Shot,1,,,
Alley Oop Layup shot,,1,,
Cutting Dunk Shot,1,,,
Cutting Finger Roll Layup Shot,,1,,
Cutting Layup Shot,,1,,
Driving Bank Hook Shot,,,,1
Driving Bank shot,,,,1
Driving Dunk Shot,1,,,
Driving Finger Roll Layup Shot,,1,,
Driving Finger Roll Shot,,,,1
Driving Floating Bank Jump Shot,,,1,
Driving Floating Jump Shot,,,1,
Driving Hook Shot,,,,1
Driving Jump shot,,,1,
Driving Layup Shot,,1,,
Driving Reverse Dunk Shot,1,,,
Driving Reverse Layup Shot,,1,,
Driving Slam Dunk Shot,1,,,
Dunk Shot,1,,,
Fadeaway Bank shot,,,,1
Fadeaway Jump Shot,,,1,
Finger Roll Layup Shot,,1,,
Finger Roll Shot,,,,1
Floating Jump shot,,,1,
Follow Up Dunk Shot,1,,,
Hook Bank Shot,,,,1
Hook Shot,,,,1
Jump Bank Hook Shot,,,,1
Jump Bank Shot,,,1,
Jump Hook Shot,,,1,
Jump Shot,,,1,
Layup Shot,,1,,
No Shot,,,,1
Pullup Bank shot,,,,1
Pullup Jump shot,,,1,
Putback Dunk Shot,1,,,
Putback Layup Shot,,1,,
Putback Reverse Dunk Shot,1,,,
Putback Slam Dunk Shot,1,,,
Reverse Dunk Shot,1,,,
Reverse Layup Shot,,1,,
Reverse Slam Dunk Shot,1,,,
Running Alley Oop Dunk Shot,1,,,
Running Alley Oop Layup Shot,,1,,
Running Bank Hook Shot,,,,1
Running Bank shot,,,1,
Running Dunk Shot,1,,,
Running Finger Roll Layup Shot,,1,,
Running Finger Roll Shot,,,1,
Running Hook Shot,,,,1
Running Jump Shot,,,1,
Running Layup Shot,,1,,
Running Pull-Up Jump Shot,,,1,
Running Reverse Dunk Shot,1,,,
Running Reverse Layup Shot,,1,,
Running Slam Dunk Shot,1,,,
Running Tip Shot,,,,1
Slam Dunk Shot,1,,,
Step Back Bank Jump Shot,,,1,
Step Back Jump shot,,,1,
Tip Dunk Shot,1,,,
Tip Layup Shot,,1,,
Tip Shot,,,,1
Turnaround Bank Hook Shot,,,,1
Turnaround Bank shot,,,,1
Turnaround Fadeaway Bank Jump Shot,,,,1
Turnaround Fadeaway shot,,,1,
Turnaround Finger Roll Shot,,,,1
Turnaround Hook Shot,,,,1
Turnaround Jump Shot,,,1,
